NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
12,23,14.59314,152.03176,54.97050,255.48870,25.04278,3.42308,0.000007745
12,24,16.40467,131.61526,45.75556,271.18543,19.50789,3.26236,0.000004223
12,25,17.06737,162.36650,60.85202,277.39448,25.62314,3.25258,0.000017535
12,26,16.13029,120.60267,52.71864,273.68623,21.51911,3.21157,0.000003312
12,27,15.95198,156.73057,61.31207,261.99906,25.55414,3.44800,0.000010963
12,28,16.66623,137.46656,45.69694,255.69358,18.82924,2.77428,0.000005889
12,29,13.13795,146.92602,57.96288,231.56524,25.29072,3.13922,0.000007213
12,30,17.89213,137.99736,58.93973,292.84815,25.23307,3.58569,0.000005771
12,31,14.92894,194.77107,56.61687,252.85898,23.32209,2.91828,0.000025890
12,32,14.47680,151.72801,56.79526,250.36038,24.01715,2.82563,0.000005179
12,33,12.68484,124.09979,45.16537,207.18105,18.05709,2.35116,0.000013922
12,34,17.59957,125.99572,54.46142,279.18229,22.77490,3.01713,0.000008213
12,35,15.65204,154.16372,59.72667,259.93766,24.77136,2.89473,0.000015454
12,36,12.72456,138.97935,59.36163,215.91359,24.84669,2.63527,0.000006509
12,37,14.67190,130.37138,50.48443,254.31896,20.84381,2.73762,0.000010143
12,38,17.94243,167.75668,61.59952,305.64225,26.04306,3.61891,0.000013375
12,39,18.23811,123.29662,51.98640,301.64723,20.71572,3.22426,0.000025883
12,40,17.49735,180.61094,60.79549,281.26189,25.17066,3.01381,0.000007372
12,41,14.04883,182.79852,62.76915,237.70171,24.73209,2.67460,0.000020322
12,42,15.34343,134.42429,51.63932,255.97966,21.43431,2.96695,0.000006194
12,43,17.04891,145.38539,61.14716,285.62455,25.30732,3.31610,0.000005893
12,44,17.14078,153.98973,60.23708,283.29222,25.03380,3.22484,0.000006605
12,45,11.37335,95.73232,38.66647,196.97509,16.46475,2.15233,0.000007972
12,46,15.80379,138.93920,59.21214,262.58980,25.05688,3.01576,0.000008890
12,47,13.60943,159.39161,55.33752,235.24669,22.56470,2.62151,0.000006573
12,48,18.57988,148.37617,59.03052,299.48363,24.60211,3.24286,0.000010045
12,49,18.64602,137.47203,60.62303,313.54352,25.00498,3.40262,0.000006156
12,50,15.15896,141.37355,59.55729,260.41667,25.26526,2.80444,0.000009135
12,51,18.70257,155.65350,60.31477,306.60593,25.36049,3.37146,0.000012916
12,52,19.56770,159.13078,61.37729,316.41511,26.41842,3.59918,0.000017301
12,53,16.45574,170.36701,59.84089,259.00481,24.74011,2.92541,0.000009923
12,54,16.05451,141.33802,55.07636,266.30284,22.79705,3.01063,0.000003096
12,55,14.14470,116.57622,45.05839,227.06214,18.42362,2.51408,0.000008318
12,56,14.58653,163.21064,59.91532,239.03890,25.19659,2.88788,0.000021901
12,57,17.31085,139.09386,54.47927,302.53886,22.69646,3.17574,0.000006324
12,58,12.71411,135.53788,54.45034,226.92893,22.42958,2.40544,0.000014655
12,59,15.60099,146.87348,60.90684,270.82439,24.68800,2.92310,0.000011883
12,60,15.36517,150.63951,57.81517,254.39938,24.42201,2.73138,0.000016202
12,61,14.21479,155.14794,61.19816,276.06821,24.74099,2.90777,0.000008999
12,62,16.82528,175.31572,57.97868,290.37439,24.08017,3.03412,0.000011832
12,63,16.33752,146.75602,47.95159,260.53167,20.45562,2.95072,0.000004764
